top - 23:03:21 up 4 days, 11:45,  1 user,  load average: 4.99, 5.71, 4.71
Tasks: 552 total,   1 running, 551 sleeping,   0 stopped,   0 zombie
%Cpu(s): 45.2 us, 25.8 sy,  0.0 ni, 28.0 id,  0.0 wa,  0.0 hi,  1.1 si,  0.0 st
MiB Mem :  15677.3 total,    164.4 free,  11948.5 used,   3564.3 buff/cache
MiB Swap:   1024.0 total,      0.0 free,   1024.0 used.    812.1 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
    191 root      20   0       0      0      0 S   0.0   0.0   0:00.01 scsi_eh+
    192 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 scsi_tm+
    193 root      20   0       0      0      0 S   0.0   0.0   0:00.01 scsi_eh+
    194 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 scsi_tm+
    218 root      20   0       0      0      0 S   0.0   0.0   0:52.30 jbd2/sd+
    219 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 ext4-rs+
    287 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 rpciod
    288 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 xprtiod
    293 root      20   0    5388    160      0 S   0.0   0.0   0:00.00 blkmapd
    304 root      20   0   25200   3912    700 S   0.0   0.0   0:01.82 systemd+
    381 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 cfg80211
    392 root     -51   0       0      0      0 S   0.0   0.0  12:44.35 irq/129+
    411 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 cryptd
    441 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 card0-c+
    442 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 card0-c+
    443 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 card0-c+
    750 root      20   0    5396    200      0 S   0.0   0.0   0:00.00 rpc.idm+
    776 _rpc      20   0    7104   1288    892 S   0.0   0.0   0:00.30 rpcbind
    781 systemd+  20   0   25804   6212   1440 S   0.0   0.0   6:37.08 systemd+
    782 systemd+  20   0   90992    844     80 S   0.0   0.0   0:00.59 systemd+
    830 root      20   0  238328   2664   1632 S   0.0   0.0   0:05.70 account+
    831 root      20   0    2548     72      0 S   0.0   0.0   0:10.16 acpid
    832 avahi     20   0   10068   2912   1084 S   0.0   0.0   2:01.09 avahi-d+
    833 root      20   0    8532   1204    664 S   0.0   0.0   0:00.27 bluetoo+
    836 message+  20   0   10076   3656    752 S   0.0   0.0   1:42.29 dbus-da+
    838 root      20   0  878180   8000   2752 S   0.0   0.0   2:54.90 Network+
    844 root      20   0   81888   1420   1096 S   0.0   0.0   0:20.63 irqbala+
    848 root      20   0   39624   8832   1924 S   0.0   0.1   0:00.12 network+
    852 root      20   0  235096   5280   1308 S   0.0   0.0   0:04.20 polkitd
    855 syslog    20   0  224524   2512    804 S   0.0   0.0   0:07.17 rsyslogd
    857 root      20   0 1170772  19548   2632 S   0.0   0.1   0:53.15 snapd
    861 root      20   0  235604   1868   1364 S   0.0   0.0   0:00.03 switche+
    867 root      20   0   17508   1740    640 S   0.0   0.0   0:02.84 systemd+
    869 root      20   0  126272   1744    948 S   0.0   0.0   7:37.55 thermald
    873 root      20   0  393860   5776   2596 S   0.0   0.0   0:27.26 udisksd
    875 root      20   0   14288   1572    324 S   0.0   0.0   0:20.02 wpa_sup+
    877 avahi     20   0    8348    320      0 S   0.0   0.0   0:00.00 avahi-d+
    909 colord    20   0  320112   6596   1916 S   0.0   0.0   0:00.72 colord
    915 root      20   0  315252   3684   1756 S   0.0   0.0   0:01.13 ModemMa+
    940 root      20   0 1499856  15872   2424 S   0.0   0.1   0:49.14 contain+
    958 root      20   0   31936  17696      0 S   0.0   0.1   0:00.00 rpc.mou+
    968 root      20   0       0      0      0 S   0.0   0.0   0:00.00 lockd
    971 root      20   0   13032   1224    728 S   0.0   0.0   0:00.00 xrdp-se+
    985 root      20   0  118136   8688   2124 S   0.0   0.1   0:00.09 unatten+
    996 xrdp      20   0   13152    588      0 S   0.0   0.0   0:00.00 xrdp
   1014 mysql     20   0 2323924 312288   1064 S   0.0   1.9  26:32.07 mysqld
   1069 root      20   0       0      0      0 S   0.0   0.0   0:00.00 nfsd
   1070 root      20   0       0      0      0 S   0.0   0.0   0:00.00 nfsd
   1071 root      20   0       0      0      0 S   0.0   0.0   0:00.00 nfsd
   1072 root      20   0       0      0      0 S   0.0   0.0   0:00.00 nfsd
   1073 root      20   0       0      0      0 S   0.0   0.0   0:00.00 nfsd
   1074 root      20   0       0      0      0 S   0.0   0.0   0:00.00 nfsd
   1075 root      20   0       0      0      0 S   0.0   0.0   0:00.00 nfsd
   1076 root      20   0       0      0      0 S   0.0   0.0   0:00.00 nfsd
   1078 root      20   0    9424   1080    820 S   0.0   0.0   0:00.64 cron
   1085 root      20   0  360384   8320   2596 S   0.0   0.1   0:21.27 anydesk
   1102 root      20   0  239600   2720   1548 S   0.0   0.0   0:00.31 gdm3
   1189 rtkit     21   1  152940   1008    764 S   0.0   0.0   0:02.50 rtkit-d+
   1284 root      20   0  252448   3712   2088 S   0.0   0.0   0:26.87 upowerd
   1574 root      20   0 2570468  33900   4488 S   0.0   0.2   2:21.63 dockerd
   1582 whoopsie  20   0  400724   4208   2232 S   0.0   0.0   0:01.05 whoopsie
   1589 kernoops  20   0   11268    384      0 S   0.0   0.0   0:27.03 kernelo+
   1592 kernoops  20   0   11268    448      0 S   0.0   0.0   0:27.22 kernelo+
   1675 root      20   0    2496     68      4 S   0.0   0.0   0:00.77 bpfilte+
   2027 root      20   0 1304596    924    176 S   0.0   0.0   0:00.22 docker-+
   2036 root      20   0 1230352   1052    280 S   0.0   0.0   0:00.21 docker-+
   2059 root      20   0  712456   2440      0 S   0.0   0.0   0:29.33 contain+
   2060 root      20   0  712456   2528      0 S   0.0   0.0   0:28.45 contain+
   2103 root      20   0    3900    272      4 S   0.0   0.0   0:00.04 bash
   2104 root      20   0    3900    272      4 S   0.0   0.0   0:00.04 bash
   2907 root      20   0  194796 130324      4 S   0.0   0.8   8:15.14 vault
   2920 root      20   0    2396     60      0 S   0.0   0.0   0:00.00 sleep
   2925 root      20   0  315444   5028   1804 S   0.0   0.0   0:00.84 gdm-ses+
   2963 vinaypa+  20   0   20096   4600   2828 S   0.0   0.0   0:10.64 systemd
   2964 vinaypa+  20   0  170100   2408      0 S   0.0   0.0   0:00.00 (sd-pam)
   2969 vinaypa+   9 -11 3580304   6756   3520 S   0.0   0.0  50:26.05 pulseau+
   2971 vinaypa+  39  19  664136   9888    560 S   0.0   0.1   0:38.43 tracker+
   2973 vinaypa+  20   0    9084   3056    904 S   0.0   0.0   0:16.09 dbus-da+
   2981 vinaypa+  20   0  240568   1348     80 S   0.0   0.0   0:01.53 gnome-k+
   2994 vinaypa+  20   0  239808   1584   1016 S   0.0   0.0   0:00.30 gvfsd
   2999 vinaypa+  20   0  378348   1368   1312 S   0.0   0.0   0:00.01 gvfsd-f+
   3005 vinaypa+  20   0  314116   3220   1852 S   0.0   0.0   0:12.80 gvfs-ud+
   3014 vinaypa+  20   0  238108   1916   1496 S   0.0   0.0   0:00.20 gvfs-gp+
   3018 vinaypa+  20   0  316728   1880   1448 S   0.0   0.0   0:07.30 gvfs-af+
   3023 vinaypa+  20   0  235880   1580   1336 S   0.0   0.0   0:00.17 gvfs-go+
   3027 vinaypa+  20   0  553216   2736   2264 S   0.0   0.0   0:00.67 goa-dae+
   3030 root      10 -10       0      0      0 S   0.0   0.0   0:00.00 krfcommd
   3037 vinaypa+  20   0  388492   1380   1120 S   0.0   0.0   0:01.82 goa-ide+
   3044 vinaypa+  20   0  235704   1356    980 S   0.0   0.0   0:00.20 gvfs-mt+
   3051 vinaypa+  20   0  164016   1940   1660 S   0.0   0.0   0:00.02 gdm-x-s+
   3053 vinaypa+  20   0  633864  66164  20280 S   0.0   0.4  61:08.07 Xorg
   3079 vinaypa+  20   0  188220   3788   2156 S   0.0   0.0   0:00.04 gnome-s+
   3153 vinaypa+  20   0    6128    100      0 S   0.0   0.0   0:00.86 ssh-age+
   3171 vinaypa+  20   0  305484   1760   1608 S   0.0   0.0   0:00.04 at-spi-+
   3176 vinaypa+  20   0    7376   1064    824 S   0.0   0.0   0:03.74 dbus-da+
   3184 vinaypa+  20   0   90060    488    488 S   0.0   0.0   0:00.00 gnome-s+
   3192 vinaypa+  20   0  484376   3284   1848 S   0.0   0.0   0:02.61 gnome-s+
   3206 vinaypa+  20   0 4701140 222212  22644 S   0.0   1.4  98:49.85 gnome-s+
   3228 vinaypa+  20   0  311036   1104     44 S   0.0   0.0   0:08.26 ibus-da+
   3232 vinaypa+  20   0  236548   1696   1528 S   0.0   0.0   0:00.01 ibus-dc+
   3233 vinaypa+  20   0  275728   3412   1188 S   0.0   0.0   0:04.05 ibus-ex+
